"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CLIC6",2820.70043095865,-1.62360254280384,0.240157151927927,-6.76058376679572,1.37436839922401e-11,3.14481590507304e-10
"RF00019.343",2.95091648023787,-1.61783120446218,0.230151858126383,-7.02940752958763,2.07412357120187e-12,5.76152077890918e-11
"MUC3A",2169.49333411497,-1.61652878086392,0.178917212496093,-9.03506576204468,1.63903849883047e-19,2.09774151534619e-17
"AC093730.1",0.615579129266336,-1.61380360415198,0.591822308075439,-2.72683807644889,0.00639444097840343,0.0178771710799306
"WDR82P2",1.05784837049982,-1.61247092316213,0.294685382126149,-5.47183885243369,4.45389747353348e-08,4.66389111867346e-07
"ARPP21",94.4288136724248,-1.60672343351912,0.281995607580546,-5.69768957504131,1.21441911461357e-08,1.44649809647948e-07
"CGB3",0.804615435947204,-1.60252096112283,0.401247301182502,-3.99384857268846,6.50093906441543e-05,0.000318974556588956
"AC103853.1",2.1048950058772,-1.60205517375879,0.313191574814422,-5.11525629228076,3.13315241254984e-07,2.70977623190381e-06
"AC108748.1",1.23701015908155,-1.60146173192759,0.303559710540211,-5.27560699368717,1.32317383810049e-07,1.25594018960617e-06
"PRSS42",24.8474158473215,-1.59999942525238,0.178298497601629,-8.97371232385395,2.86685383736404e-19,3.46502873208175e-17
"AL353997.2",11.2801287188596,-1.59886493376518,0.245646430542937,-6.50880588914446,7.57505297740671e-11,1.49546207166868e-09
"CABP4",150.807803114104,-1.59651095038315,0.24664577573924,-6.47288989887676,9.61460138032371e-11,1.8535028540988e-09
"AL355388.1",18.5514392874718,-1.59481199679922,0.232093264484211,-6.87142731325456,6.35626773066829e-12,1.57501451557613e-10
"AC120498.2",7.48818152234107,-1.58104372865358,0.315923779507769,-5.00451004706563,5.60042911584799e-07,4.58547770207337e-06
"AC006159.2",57.1150935068742,-1.58100525539126,0.212168696064615,-7.45164241811509,9.21853047469957e-14,3.48119158650849e-12
"AL121845.4",29.4311223538629,-1.57894112577493,0.192208302285215,-8.21473946235662,2.12625393073618e-16,1.41344563023214e-14
"AC003084.1",0.61898188546088,-1.57543341623217,0.443301446316205,-3.55386482341504,0.000379614277616063,0.00151956064034104
"PICSAR",8.24601811658261,-1.5719742321523,0.504550409701026,-3.11559400592655,0.00183574825665766,0.00605001365789323
"DRICH1",54.3968770495658,-1.57010327466495,0.196571745021156,-7.9874311259534,1.37779585084304e-15,7.65450962897757e-14
"AL121821.1",16.8367549144436,-1.56801091876372,0.368088122350975,-4.25987915271173,2.04537460997608e-05,0.000114028571339255
"AC138761.1",0.884805712688818,-1.56749246593562,0.6549820910267,-2.39318370289872,0.0167028758550361,0.040625541349153
"ABRA",14.1612898020785,-1.56627545084194,0.221793461062294,-7.06186486896487,1.64282710983851e-12,4.67460088907259e-11
"AC024592.2",25.3639807871237,-1.56546521389565,0.283983063466283,-5.51253020087769,3.53711471601546e-08,3.80197923029529e-07
"AL512274.1",208.125506044064,-1.56284615950633,0.191663473797414,-8.15411579755796,3.51743729220681e-16,2.21700727223935e-14
"MTCO1P42",4.01332964336823,-1.55751691803528,0.330008857096906,-4.71962156330221,2.36283808720162e-06,1.66061949125311e-05
"CTSG",124.850961709862,-1.55260477646322,0.263820215200678,-5.88508646042234,3.97845956743847e-09,5.25320161240267e-08
"AP000346.1",21.7618259460763,-1.5497607203532,0.207778940522704,-7.45869969523625,8.73805087608435e-14,3.30947239271423e-12
"AL021331.1",4.96105190810419,-1.54625767872206,0.243688433996377,-6.34522391302762,2.22102169478882e-10,3.92095753041565e-09
"IRS3P",4.12945966147709,-1.54599216049738,0.241811024018505,-6.393389907563,1.62247827763111e-10,2.97179441673848e-09
"AC099792.1",168.116984312447,-1.54330350221333,0.235914254424591,-6.54179844273311,6.07833887456901e-11,1.22251660744853e-09
"MAS1L",3.50144158581029,-1.54229554963009,0.344983137706855,-4.47064039095335,7.79857315397199e-06,4.82402994584541e-05
"AC011891.2",0.98754593946512,-1.5417023846558,0.404447127433212,-3.81187621343753,0.000137915944345324,0.000620259786559934
"CRIP1P2",0.711768775047599,-1.54125809221114,0.371312565400989,-4.15083742330859,3.31261012986127e-05,0.000174709435103304
"LCN2",10068.8222512528,-1.54073141386059,0.235237146997973,-6.54969435534713,5.7654961306193e-11,1.1705869868992e-09
"AC087477.2",390.923084874694,-1.54051037447401,0.147714855192357,-10.4289468548572,1.82904222516694e-25,7.05205520335366e-23
"NDUFB4P11",196.869684111443,-1.53961867309157,0.218033348004043,-7.06139077891437,1.64844287844671e-12,4.68712121101705e-11
"AC107884.2",2.45001145590773,-1.53634483185626,0.324489885790465,-4.73464628370061,2.1943745588007e-06,1.55412023308449e-05
"AC099654.3",1.86272437271753,-1.53619351278722,0.476211277475435,-3.22586546234505,0.00125592378524722,0.0043331899296637
"AL359317.2",15.0408203187283,-1.53405748073018,0.137819271108343,-11.1309359597775,8.86992170946177e-29,6.45261700811336e-26
"AL157904.1",13.4764231927315,-1.53379891436334,0.161537530276182,-9.49500039861321,2.20210536996924e-21,3.96749414226794e-19
"HAR1B",6.87794435623719,-1.53205395316636,0.285489276812841,-5.36641505512916,8.03169997693004e-08,8.0059520245738e-07
"AC024230.1",9.72470122382812,-1.52827062570355,0.460929105374735,-3.31563055550825,0.000914366200694013,0.00329110373730007
