"","x"
"900","GC"
"901","RGS7BP"
"902","ITLN2"
"903",NA
"904",NA
"905","LOC112268408"
"906","SLC5A3"
"907",NA
"908","ST13P20"
"909","RBBP8NL"
"910","BDKRB2"
"911",NA
"912","ACSL6"
"913","NES"
"914","MYCN"
"915","TARID"
"916","LOC100192426"
"917","UGT1A9"
"918","LINC02226"
"919","TBATA"
"920","CLDN14"
"921",NA
"922",NA
"923","KCNA4"
"924","TMEM61"
"925","GHR"
"926","LOC112267859"
"927","ADTRP"
"928",NA
"929","CR2"
"930",NA
"931",NA
"932",NA
"933","ZYG11A"
"934","LOC283299"
"935","CIR1P2"
"936","CALHM5"
"937","FCN3"
"938","ARSF"
"939","GATA3-AS1"
"940",NA
"941",NA
"942",NA
"943","FAM3B"
"944","TMEM30B"
"945","MUC20"
"946","DLK1"
"947","LINC02751"
"948","LINC02652"
"949",NA
"950",NA
"951","MAPK4"
"952","SLC8A1"
"953","KCNN3"
"954","MYOCD"
"955","ANGPTL1"
"956","CGNL1"
"957",NA
"958","PLS3-AS1"
"959","ATP1A2"
"960","SPATA31C2"
"961","KANK4"
"962","LMO1"
"963","COL25A1"
"964",NA
"965","FAM217A"
"966","TYRO3"
"967",NA
"968","MT1X"
"969","EHF"
"970",NA
"971",NA
"972",NA
"973","GJA5"
"974",NA
"975","SLC4A8"
"976","LOC101928896"
"977","ATP4B"
"978","COL4A6"
"979","LINC02432"
"980",NA
"981","ASPG"
"982","GPIHBP1"
"983","TNNI1"
"984","LOC101929268"
"985","SVOPL"
"986","LRRC52-AS1"
"987","CCL11"
"988",NA
"989","FBP1"
"990",NA
"991","PLEKHD1"
"992","TUBAL3"
"993",NA
"994","WDR49"
"995","ALDH6A1"
"996","CYP1A2"
"997",NA
"998","ASS1P1"
"999","INPP5J"
"1000","PDGFRA"
"1001","APOC3"
"1002","FAM83B"
"1003","HSPB3"
"1004","RHBG"
"1005","PLCG2"
"1006","MT1HL1"
"1007","TBX3"
"1008","TRIM40"
"1009","ADH6"
"1010","GYG2P1"
"1011","PDZRN4"
"1012",NA
"1013","KLHL33"
"1014","SFXN2"
"1015","ECRG4"
"1016",NA
"1017","PCSK9"
"1018","CDC20B"
"1019",NA
"1020","ITGA8"
"1021",NA
"1022","TRPV6"
"1023","GABRP"
"1024","GABRG1"
"1025",NA
"1026",NA
"1027","PGR"
"1028","EPHB3"
"1029","RPLP0P2"
"1030","HOXD10"
"1031","MUC13"
"1032","TMTC1"
"1033","SPATA13"
"1034","IGFL1"
"1035","ERP27"
"1036","ANGPT1"
"1037","PLN"
"1038",NA
"1039","FOXD3"
"1040","ZNF366"
"1041","IYD"
"1042","DSG4"
"1043",NA
"1044","ADGRF3"
"1045","SLC22A12"
"1046",NA
"1047","GATA2"
"1048","KRTAP5-8"
"1049",NA
"1050","GALR1"
"1051","TTR"
"1052","OIT3"
"1053","PLA2G4F"
"1054","CHRM3"
"1055","NR4A2"
"1056","KCNN2"
"1057",NA
"1058","FAM222A"
"1059",NA
"1060",NA
"1061","NR2F1-AS1"
"1062","CER1"
"1063",NA
"1064","GATA5"
"1065","CNGA1"
"1066","XAGE2"
"1067","ASS1P13"
"1068",NA
"1069",NA
"1070","LINC00626"
"1071",NA
"1072","CUBNP3"
"1073",NA
"1074","LRRTM2"
"1075","PROM2"
"1076",NA
"1077","LOC101927870"
"1078","NR2F1"
"1079",NA
"1080","EPB41L4B"
"1081","FHL5"
"1082","SUSD4"
"1083",NA
"1084","SLC5A11"
"1085","RPS18P11"
"1086","ZNF750"
"1087",NA
"1088","NIPAL1"
"1089","MAN1C1"
"1090","MYCNOS"
"1091","KCNG2"
"1092","PRLR"
"1093","DDX25"
"1094","TAAR1"
"1095",NA
"1096",NA
"1097",NA
"1098","PCK2"
"1099","IDO2"
"1100","HS3ST3B1"
"1101","MELTF"
"1102","NTRK1"
"1103","LOC100505664"
"1104","ASS1P4"
"1105","MYH11"
"1106","DCC"
"1107","FGF5"
"1108",NA
"1109","PPM1K-DT"
"1110","KMO"
"1111","GCOM1"
"1112","LPL"
"1113","CTSV"
"1114","RASSF9"
"1115","GSG1L"
"1116",NA
"1117","CHRM3-AS2"
"1118",NA
"1119","ANKRD34C"
"1120","CFHR4"
"1121","B3GALT2"
"1122","TMEM246-AS1"
"1123",NA
"1124","MTNR1A"
"1125","C14orf180"
"1126","HMGA2-AS1"
"1127","ADRA2B"
"1128",NA
"1129",NA
"1130","SLC13A5"
"1131","GABRB1"
"1132",NA
"1133","A1CF"
"1134",NA
"1135",NA
"1136","SNTG1"
"1137",NA
"1138","C3orf86"
"1139","RPEP6"
"1140",NA
"1141","ASB5"
"1142",NA
"1143","ZNF521"
"1144","GATA3"
"1145","CRISP2"
"1146","ACTG1P25"
"1147","EFHD1"
"1148","HPGD"
"1149",NA
"1150","AMPH"
"1151",NA
"1152","LOC105378044"
"1153","TNNC1"
"1154",NA
"1155",NA
"1156",NA
"1157",NA
"1158","ATP2B3"
"1159","GRAMD1B"
"1160","TUBB8P7"
"1161","PAK5"
"1162","CUBN"
"1163","MARCHF11"
"1164","IL1RL1"
"1165","TSPAN8"
"1166","CYP4X1"
"1167","DOCK8-AS1"
"1168","DRD1"
"1169","RPL13AP11"
"1170","MTURN"
"1171","CELF3"
"1172","DCXR-DT"
"1173",NA
"1174","IQSEC3"
"1175","LINC00989"
"1176","VIT"
"1177","PAK6-AS1"
"1178",NA
"1179","EWSAT1"
"1180","LHX1-DT"
"1181",NA
"1182",NA
"1183",NA
"1184","KDR"
"1185",NA
"1186","JPH4"
"1187",NA
"1188","LOC102546229"
"1189",NA
"1190","FXYD3"
"1191","MYOC"
"1192","GLIS3-AS1"
"1193","CYFIP2"
"1194","SLC25A25"
"1195","NOS1AP"
"1196","KCNQ1"
"1197","ARHGEF15"
"1198","GSTM3"
"1199","GALNT15"
"1200","B4GALNT3"
"1201","HSPA12B"
"1202","LINC00454"
"1203","ACSBG2"
"1204","RAMP3"
"1205","CLEC3A"
"1206","SSUH2"
"1207","DAAM2"
"1208","DPP6"
"1209","CRNN"
"1210",NA
"1211","TMIGD1"
"1212","C11orf16"
"1213",NA
"1214",NA
"1215","PDE1A"
"1216",NA
"1217",NA
"1218","SUCNR1"
"1219",NA
"1220",NA
"1221","SULT1B1"
"1222","MMP20"
"1223","DPYS"
"1224","ACSF2"
"1225","GALNT17"
"1226","ADAMTSL2"
"1227","CNN1"
"1228",NA
"1229","KLK5"
"1230",NA
"1231",NA
"1232",NA
"1233","OGN"
"1234","SLC9A2"
"1235","BRINP3"
"1236","GYPB"
